Age (yrs),Douglasfir,Exotic softwoods,Exotic hardwoods,Indigenous forest
0,0.0,0.0,0.0,0.0
1,0.1,0.2,0.1,0.6
2,0.1,1.0,3.0,1.2
3,0.4,3.0,13.0,2.5
4,1.1,12.0,34.0,4.6
5,2.2,26.0,48.0,7.8
6,4.0,41.0,64.0,12.0
7,6.5,52.0,83.0,18.0
8,20.0,64.0,101.0,24.0
9,33.0,73.0,119.0,32.0
10,41.0,80.0,136.0,33.0
11,50.0,83.0,152.0,36.0
12,59.0,86.0,166.0,39.0
13,69.0,90.0,178.0,43.0
14,79.0,94.0,190.0,48.0
15,90.0,99.0,200.0,52.0
16,102.0,104.0,210.0,57.0
17,114.0,110.0,219.0,62.0
18,126.0,116.0,227.0,67.0
19,161.0,122.0,234.0,88.0
20,164.0,128.0,242.0,91.0
21,169.0,134.0,248.0,94.0
22,176.0,140.0,255.0,97.0
23,183.0,146.0,262.0,100.0
24,192.0,152.0,268.0,103.0
25,202.0,157.0,274.0,106.0
26,211.0,163.0,280.0,109.0
27,223.0,168.0,285.0,117.0
28,229.0,174.0,290.0,119.0
29,238.0,179.0,295.0,121.0
30,247.0,184.0,299.0,123.0
31,257.0,190.0,303.0,124.0
32,267.0,196.0,307.0,126.0
33,276.0,202.0,311.0,128.0
34,287.0,208.0,314.0,129.0
35,297.0,213.0,317.0,131.0
36,309.0,219.0,,132.0
37,318.0,224.0,,133.0
38,329.0,230.0,,135.0
39,338.0,235.0,,140.0
40,346.0,240.0,,140.0
41,353.0,246.0,,141.0
42,361.0,251.0,,141.0
43,369.0,256.0,,142.0
44,377.0,262.0,,142.0
45,386.0,267.0,,142.0
46,394.0,273.0,,143.0
47,402.0,278.0,,143.0
48,410.0,284.0,,143.0
49,418.0,289.0,,144.0
50,426.0,295.0,,144.0
