Age (yrs),Ak,W/T,BOP,Gis,H/SNI,N/M,C/W,O,S
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.4,0.4,0.6,0.5,0.2,0.2,0.3,0.2
2,3.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0
3,8.0,7.0,6.0,10.0,9.0,3.0,2.0,5.0,3.0
4,29.0,25.0,24.0,37.0,34.0,12.0,5.0,9.0,14.0
5,48.0,44.0,43.0,55.0,52.0,28.0,15.0,26.0,35.0
6,69.0,61.0,61.0,81.0,77.0,43.0,31.0,43.0,50.0
7,92.0,82.0,82.0,108.0,104.0,57.0,44.0,57.0,68.0
8,113.0,99.0,103.0,134.0,130.0,71.0,56.0,72.0,88.0
9,128.0,112.0,121.0,155.0,150.0,89.0,71.0,84.0,111.0
10,133.0,117.0,131.0,165.0,160.0,100.0,85.0,105.0,130.0
11,140.0,124.0,134.0,167.0,163.0,112.0,101.0,119.0,141.0
12,150.0,133.0,139.0,173.0,168.0,115.0,112.0,124.0,142.0
13,161.0,143.0,146.0,180.0,175.0,120.0,123.0,124.0,145.0
14,173.0,155.0,155.0,190.0,185.0,126.0,122.0,128.0,151.0
15,186.0,167.0,164.0,201.0,195.0,134.0,125.0,133.0,158.0
16,199.0,180.0,175.0,212.0,207.0,143.0,128.0,141.0,167.0
17,213.0,193.0,186.0,224.0,219.0,153.0,134.0,149.0,177.0
18,227.0,206.0,198.0,237.0,232.0,164.0,140.0,159.0,187.0
19,241.0,220.0,210.0,249.0,244.0,175.0,147.0,169.0,199.0
20,254.0,233.0,222.0,262.0,257.0,187.0,156.0,180.0,211.0
21,268.0,246.0,233.0,274.0,269.0,199.0,164.0,191.0,223.0
22,281.0,259.0,245.0,287.0,282.0,210.0,174.0,202.0,235.0
23,293.0,272.0,257.0,298.0,293.0,222.0,183.0,214.0,248.0
24,305.0,284.0,268.0,310.0,305.0,234.0,193.0,226.0,260.0
25,317.0,296.0,278.0,321.0,316.0,245.0,203.0,237.0,272.0
26,328.0,308.0,289.0,331.0,327.0,257.0,213.0,249.0,284.0
27,339.0,319.0,299.0,342.0,337.0,268.0,223.0,260.0,296.0
28,350.0,331.0,310.0,352.0,348.0,280.0,233.0,272.0,308.0
29,360.0,342.0,320.0,363.0,358.0,291.0,243.0,283.0,319.0
30,371.0,353.0,330.0,373.0,369.0,302.0,253.0,295.0,331.0
31,382.0,365.0,340.0,384.0,379.0,314.0,264.0,307.0,344.0
32,392.0,376.0,351.0,394.0,390.0,326.0,276.0,319.0,356.0
33,403.0,387.0,361.0,405.0,401.0,338.0,287.0,332.0,369.0
34,413.0,398.0,371.0,415.0,411.0,349.0,298.0,343.0,381.0
35,423.0,409.0,380.0,425.0,421.0,361.0,308.0,355.0,393.0
36,433.0,420.0,390.0,435.0,431.0,372.0,319.0,367.0,405.0
37,443.0,430.0,399.0,445.0,441.0,383.0,330.0,379.0,417.0
38,452.0,441.0,409.0,455.0,452.0,393.0,340.0,390.0,429.0
39,462.0,451.0,418.0,465.0,462.0,404.0,351.0,402.0,440.0
40,471.0,461.0,427.0,475.0,472.0,414.0,361.0,413.0,452.0
41,481.0,472.0,436.0,485.0,482.0,425.0,371.0,424.0,464.0
42,491.0,482.0,445.0,495.0,492.0,435.0,381.0,436.0,475.0
43,500.0,492.0,454.0,505.0,503.0,445.0,391.0,447.0,487.0
44,510.0,502.0,463.0,516.0,513.0,455.0,401.0,458.0,498.0
45,520.0,513.0,472.0,526.0,524.0,465.0,410.0,469.0,510.0
46,530.0,523.0,481.0,537.0,535.0,475.0,420.0,480.0,521.0
47,540.0,534.0,491.0,548.0,546.0,485.0,429.0,491.0,533.0
48,550.0,545.0,500.0,559.0,557.0,495.0,438.0,502.0,545.0
49,561.0,556.0,510.0,571.0,568.0,504.0,447.0,513.0,557.0
50,571.0,567.0,519.0,583.0,580.0,514.0,457.0,525.0,569.0
